Year,All Races,White,Black,Asiasn
2016,12.7,11.2,21.8,9.9
2015,13.5,11.8,23.9,11.1
2014,14.8,12.9,26.0,11.5
2013,14.8,13.1,25.3,12.5
2012,15.0,12.9,27.1,11.4
2011,15.0,13.0,27.5,12.3
2010,15.1,13.1,27.4,12.0
2009,14.3,12.5,25.9,12.4
2008,13.2,11.3,24.6,11.6
2007,12.5,10.6,24.4,10.2
2006,12.3,10.4,24.2,10.1
2005,12.6,10.7,24.7,10.9
2004,12.7,10.9,24.7,9.7
2003,12.5,10.6,24.3,11.8
2002,12.1,10.3,23.9,10.0
2001,11.7,9.9,22.7,10.2
2000,11.3,9.5,22.5,9.9
1999,11.9,9.8,23.6,10.7
1998,12.7,10.5,26.1,12.5
1997,13.3,11.0,26.5,14.0
1996,13.7,11.2,28.4,14.5
1995,13.8,11.2,29.3,14.6
1994,14.5,11.7,30.6,14.6
1993,15.1,12.2,33.1,15.3
1992,14.8,11.9,33.4,12.7
1991,14.2,11.3,32.7,13.8
1990,13.5,10.7,31.9,12.2
1989,12.8,10.0,30.7,14.1
1988,13.0,10.1,31.3,17.3
1987,13.4,10.4,32.4,16.1
